Simulacion #33
Comienza simulacion.
Tiempo	Info
0,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 0 

1,38	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

2,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 1 

2,38	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 1 

3,07	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

4,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 2 

4,07	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 2 

4,89	Se libera B.

	Longitud de la cola de A: 1
	Cola de A: 2 

5,48	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

6,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 3 

6,48	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 3 

7,61	Se libera B.

	Longitud de la cola de A: 1
	Cola de A: 3 

8,00	Llega mensaje a A.

	Longitud de la cola de A: 2
	Cola de A: 3 4 

8,32	Se libera A.

	Longitud de la cola de A: 1
	Cola de A: 4 

9,32	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 4 

9,52	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

9,82	Se libera B.

	Longitud de la cola de A: 0
	Cola de A: 

10,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 5 

10,52	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 5 

12,00	Llega mensaje a A.

	Longitud de la cola de A: 2
	Cola de A: 5 6 

12,15	Se libera B.

	Longitud de la cola de A: 2
	Cola de A: 5 6 

13,43	Se libera A.

	Longitud de la cola de A: 1
	Cola de A: 6 

14,00	Llega mensaje a A.

	Longitud de la cola de A: 2
	Cola de A: 6 7 

14,43	Llega Frame a B.

	Longitud de la cola de A: 2
	Cola de A: 6 7 

14,74	Se libera B.

	Longitud de la cola de A: 2
	Cola de A: 6 7 

15,09	Se libera A.

	Longitud de la cola de A: 1
	Cola de A: 7 

16,00	Llega mensaje a A.

	Longitud de la cola de A: 2
	Cola de A: 7 8 

16,09	Llega Frame a B.

	Longitud de la cola de A: 2
	Cola de A: 7 8 

16,36	Se libera A.

	Longitud de la cola de A: 1
	Cola de A: 8 

16,74	Se libera B.

	Longitud de la cola de A: 1
	Cola de A: 8 

17,36	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 8 

17,51	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

18,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 9 

18,51	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 9 

19,37	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

19,43	Se libera B.

	Longitud de la cola de A: 0
	Cola de A: 

20,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 10 

20,37	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 10 

21,26	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

22,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 11 

22,26	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 11 

22,27	Se libera B.

	Longitud de la cola de A: 1
	Cola de A: 11 

23,81	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

24,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 12 

24,81	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 12 

25,19	Se libera B.

	Longitud de la cola de A: 1
	Cola de A: 12 

26,00	Llega mensaje a A.

	Longitud de la cola de A: 2
	Cola de A: 12 13 

26,05	Se libera A.

	Longitud de la cola de A: 1
	Cola de A: 13 

27,05	Llega Frame a B.

