Simulacion #50
Comienza simulacion.
Tiempo	Info
0,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 0 

1,11	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

2,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 1 

2,11	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 1 

3,22	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

4,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 2 

4,22	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 2 

4,54	Se libera B.

	Longitud de la cola de A: 1
	Cola de A: 2 

6,00	Llega mensaje a A.

	Longitud de la cola de A: 2
	Cola de A: 2 3 

6,38	Se libera A.

	Longitud de la cola de A: 1
	Cola de A: 3 

6,98	Se libera B.

	Longitud de la cola de A: 1
	Cola de A: 3 

7,38	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 3 

7,45	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

8,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 4 

8,45	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 4 

9,73	Se libera B.

	Longitud de la cola de A: 1
	Cola de A: 4 

10,00	Llega mensaje a A.

	Longitud de la cola de A: 2
	Cola de A: 4 5 

10,21	Se libera A.

	Longitud de la cola de A: 1
	Cola de A: 5 

11,21	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 5 

11,78	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

12,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 6 

12,41	Se libera B.

	Longitud de la cola de A: 1
	Cola de A: 6 

12,78	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 6 

13,06	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

14,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 7 

14,06	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 7 

14,68	Se libera B.

	Longitud de la cola de A: 1
	Cola de A: 7 

16,00	Llega mensaje a A.

	Longitud de la cola de A: 2
	Cola de A: 7 8 

16,74	Se libera A.

	Longitud de la cola de A: 1
	Cola de A: 8 

16,75	Se libera B.

	Longitud de la cola de A: 1
	Cola de A: 8 

17,74	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 8 

17,82	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

18,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 9 

18,82	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 9 

19,09	Se libera B.

	Longitud de la cola de A: 1
	Cola de A: 9 

19,28	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

20,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 10 

20,28	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 10 

21,08	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

21,89	Se libera B.

	Longitud de la cola de A: 0
	Cola de A: 

22,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 11 

22,08	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 11 

23,31	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

24,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 12 

24,31	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 12 

24,42	Se libera B.

	Longitud de la cola de A: 1
	Cola de A: 12 

25,72	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

26,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 13 

26,47	Se libera B.

	Longitud de la cola de A: 1
