Simulacion #96
Comienza simulacion.
Tiempo	Info
0,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 0 

1,55	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

2,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 1 

2,55	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 1 

4,00	Llega mensaje a A.

	Longitud de la cola de A: 2
	Cola de A: 1 2 

4,00	Se libera A.

	Longitud de la cola de A: 1
	Cola de A: 2 

5,00	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 2 

5,07	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

5,38	Se libera B.

	Longitud de la cola de A: 0
	Cola de A: 

6,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 3 

6,07	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 3 

7,50	Se libera B.

	Longitud de la cola de A: 1
	Cola de A: 3 

7,60	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

8,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 4 

8,60	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 4 

9,13	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

9,76	Se libera B.

	Longitud de la cola de A: 0
	Cola de A: 

10,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 5 

10,13	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 5 

11,14	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

12,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 6 

12,03	Se libera B.

	Longitud de la cola de A: 1
	Cola de A: 6 

12,14	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 6 

13,22	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

14,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 7 

14,22	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 7 

15,02	Se libera B.

	Longitud de la cola de A: 1
	Cola de A: 7 

16,00	Llega mensaje a A.

	Longitud de la cola de A: 2
	Cola de A: 7 8 

16,46	Se libera A.

	Longitud de la cola de A: 1
	Cola de A: 8 

17,27	Se libera B.

	Longitud de la cola de A: 1
	Cola de A: 8 

17,46	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 8 

17,50	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

18,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 9 

18,50	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 9 

19,27	Se libera B.

	Longitud de la cola de A: 1
	Cola de A: 9 

19,65	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

20,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 10 

20,65	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 10 

21,54	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

21,92	Se libera B.

	Longitud de la cola de A: 0
	Cola de A: 

22,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 11 

22,54	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 11 

23,23	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

24,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 12 

24,23	Llega Frame a B.

	Longitud de la cola de A: 1
	Cola de A: 12 

24,28	Se libera B.

	Longitud de la cola de A: 1
	Cola de A: 12 

25,20	Se libera A.

	Longitud de la cola de A: 0
	Cola de A: 

26,00	Llega mensaje a A.

	Longitud de la cola de A: 1
	Cola de A: 13 

26,20	Llega Frame a B.

	Longitud de la cola de A: 1
